####eBayCatName, eBayCatId, CatIndex
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Belts & Belt Buckles	57918	339
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Gloves & Mittens	57919	338
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Hair Accessories	57920	171
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Hats	15630	326
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Jewelry	175526	261
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Key Chains	175527	262
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Mixed Items & Lots	15633	329
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Other Girls' Accessories	11467	302
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Purses & Wallets	15629	165
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Scarves & Wraps	57927	551
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Shoe Charms	150956	559
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Sunglasses	122340	41
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Umbrellas	122341	42
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Wristbands	122342	40
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Clothing (Sizes 4 & Up):Dresses	51581	492
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Clothing (Sizes 4 & Up):Jeans	77411	242
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Clothing (Sizes 4 & Up):Jumpsuits & Rompers	175528	259
